,160,16,,Mark Leyner,"Et Tu, Babe",1992,176,
,161,17,,Michel Laub,Diário da Queda,2011,152,
,162,18,,Vladimir Voinovitch,The Ivankiad,1978,152,
,163,19,,José Falero,Os Supridores,2020,304,
,164,20,,César Aira,La Serpiente,1997,160,
,165,21,,Plutarco,Vidas Paralelas - Teseu e Rómulo,Séc. II,171,
,,,,,,,,
,Dezembro,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,166,01,,Lourenço Mutarelli,O Astronauta,2021,52,
,167,02,,Anderson Félix,Matei Minha Mãe,2020,244,
,168,03,,Washington Cucurto,Coisa de Negros,2003,184,
,169,04,,Washington Cucurto,Noites Vazias,2003,,
,170,05,,César Aira,Como me Tornei Freira,1998,256,
,171,06,,César Aira,A Costureira e o Vento,1994,,
,172,07,,Ricardo Lísias,O Céu dos Suicidas,2012,192,
,173,08,,Tatiana Salem Levy ,Vista Chinesa,2021,112,
,174,09,,Richard Laymon,Dreadful Tales,2000,436,
,175,10,,Victor Pelevin,The Hall of the Singing Caryatids,2008,105,
,176,11,,Paulo Scott,Habitante Irreal,2011,264,
,177,12,,Sigizmund Krzhizhanovsky,Seven Stories,1920~,208,
,178,13,,Cees Nooteboon,Rituais,1980,204,
,179,14,,Vladimir Sorokin,The Blizzard,2010,192,
,180,15,,Lourenço Mutarelli,Sequelas,2023,216,
,181,16,,Samuel Rawet,Viagens De Ahasverus,1970,66,
,182,17,,César Aira,En la Confitería del Gas,2021,84,
,183,18,,Mario Levrero,El Alma de Gardel,1996,128,,,,,,,,,
,Janeiro,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,01,01,,Georges Bataille,O Azul do Céu,1957,176,
,02,02,,Emmanuel Carrère,Ioga,2020,272,
,03,03,,Stefan Zweig,Confusion,1926,144,
,04,04,,André Sant'Anna,Amor,2008,80,
,05,05,,László Krasznahorkai,The Last Wolf,2009,72,
,06,06,,Jon Fosse,Trilogia,2014,200,
,07,07,,Kurt Tucholsky,Castle Gripsholm,1931,144,
,08,08,,César Aira,Un Sueño Realizado,2001,192,
,09,09,,Mario Bellatin,La Escuela del Dolor Humano de Sechuán,2001,88,
,10,10,,César Aira,Las Curas Milagrosas del Doctor Aira,1998,84,
,11,11,,Blaise Cendrars,Moravagine,1926,224,
,12,12,,László Krasznahorkai,Herman,1986,48,
,13,13,,Bernardo Carvalho,Nove Noites,2002,176,
,14,14,,Kay Dick,They,1977,121,
,15,15,,Verônica Stigger,O Livro dos Sonhos,2023,80,
,16,16,,César Aira,En El Pensamiento,2024,120,
,17,17,,Fleur Jaeggy,Proleterka,2001,96,
,18,18,,Richard Laymon,Body Rides,1996,544,
,19,19,,Marcelo Mirisola,O Herói Devolvido,2000,192,
,20,20,,Vanessa Barbara,Operação Impensável,2015,224,
,21,21,,Nawal el-Saadawi,God Dies by the Nile,1974,138,
,22,22,,René Descartes,Discurso do Método,1637,184,
,23,23,,César Aira,Los Fantasmas,1990,152,
,24,24,,Marcelo Mirisola,Hosana na Sarjeta,2014,144,
,,,,,,,,
,Fevereiro,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,25,01,,Kenzaburo Oe,Seventeen,1961,100,
,26,02,,Kenzaburo Oe,J,1963,128,
,27,03,,Kathy Acker,The Adult Life of Toulouse Lautrec,1978,201,
,28,04,,Richard Powers,Galatea 2.2,1995,329,
,29,05,,Gert Hofmann,The Spectacle at the Tower,1982,234,
,30,06,,Solvej Balle,Sobre o Cálculo do Volume: 2,2020,168,
,31,07,,Mario Bellatin,Biografía Ilustrada de Mishima,2009,108,
,32,08,,Adolfo B Casares & Silvina Ocampo,"Los que Aman, Odian",1946,158,
,33,09,,Mario Bellatin,Efecto Invernadero,1992,54,
,34,10,,Viktor Chklovsky,Third Factory,1926,160,
,35,11,,Lady Sarashina,The Sarashina Diary,Séc. XI,264,
,36,12,,Vladimir Sorokin,Red Pyramid,2024,320,
,37,13,,Marcelo Mirisola,O Azul do Filho Morto,2002,173,
,38,14,,Mario Bellatin,El Hombre Dinero,2013,112,
,39,15,,Marcelo Mirisola,Bangalô,2003,128,
,,,,,,,,
,Março,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,40,01,,Marcelo Mirisola,Charque,2011,224,
,41,02,,Marcelo Mirisola,Notas da Arrebentação,2005,128,
,42,03,,Ricardo Lísias,Duas Praças,2005,128,
,43,04,,Ricardo Lísias,A Vista Particular,2016,128,
,44,05,,Izumi Suzuki,Set My Heart on Fire,1983,192,
,45,06,,Naoya Shiga,Reconciliation,1949,137,
,46,07,,Yuko Tsushima,Of Dogs and Walls,2018,53,
,47,08,,Barry Hannah,Ray,1980,128,
,48,09,,Mario Bellatin,Jacobo El Mutante,2004,80,
,49,10,,Richard Brautigan,The Abortion: An Historical Romance 1966,1971,226,
,50,11,,Hitomi Kanehara,Autofiction,2006,216,
,51,12,,Murasaki Shikibu,The Diary of Lady Murasaki,Séc. XI,146,
,52,13,,Izumi Shikibu,Diaries of Court Ladies of Old Japan,Séc. XI,153,
,53,14,,Marcelo Mirisola,Fátima Fez os Pés para Mostrar na Choperia,1998,144,
,54,15,,Lourenço Mutarelli,O Grifo de Abdera,2015,280,
,55,16,,Marcelo Mirisola,Memórias da Sauna Finlandesa,2009,176,
,56,17,,Pablo Pérez,El Mendigo Chupapijas,2005,80,
,57,18,,Mario Levrero,Fauna / Desplazamientos,1987,214,
,58,19,,César Aira,Los Dos Payasos,1995,68,
,59,20,,César Aira,El Pequeño Monje Budista,2005,90,
,60,21,,Natércia Pontes,Copacabana Dreams,2012,128,
,61,22,,Sergio Pitol,El Arte de la Fuga,1996,329,
,62,23,,César Aira,El Volante,1992,96,
,,,,,,,,
,Abril,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,63,01,,Chico Buarque,Leite Derramado,2009,200,
,64,02,,César Aira,El Gran Misterio,2018,80,
,65,03,,Mario Bellatin,Carta Sobre os Cegos Para Uso dos que Veem,2016,88,
,66,04,,Mario Levrero,El Portero y el Otro,1993,187,
,67,05,,Michel Houellebecq,O Mapa e o Território,2010,400,
,68,06,,Ricardo Lísias,Anna O. E Outras Novelas,2007,208,
,69,07,,Jean-Jacques Rousseau,Confissões,1782,645,
,70,08,,Gérard de Nerval,"Aurélia, ou o Sonho e a Vida",1855,116,
,71,09,,César Aira,La Invención del Tren Fantasma,2015,80,
,72,10,,Dante Alighieri,Inferno,Séc. XIV,230,
,,,,,,,,
,Maio,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,73,01,,Cyrano de Bergerac,Viagem à Lua,1657,232,
,74,02,,Ernesto Sabato,O Túnel,1948,152,
,75,03,,Jamil Snege,Como Tornar-se Invisível em Curitiba,2000,90,
,76,04,,César Aira,Pinceladas Musicales,2019,132,
,77,05,,César Aira,Três Lendas Pringlenses,2013,80,
,78,06,,Marcelo Mirisola,A Fé que Perdi nos Cães,2021,160,
,79,07,,Washington Cucurto,Las Aventuras del Sr. Maíz,2005,130,
,80,08,,Dalia Rosetti,Dame Pelota,2009,160,
,81,09,,Daniel Guebel,Mis Escritores Muertos,2009,64,
,82,10,,Patricio Pron,O Espírito dos Meus Pais Continua a Subir na Chuva,2011,160,
,83,11,,Mauro Libertella,Mi Libro Enterrado ,2013,78,
,84,12,,Serguei Dovlátov ,Parque Cultural,1983,168,
,85,13,,Damián Ríos,Entrerrianos,2010,128,
,86,14,,Thomas de Quincey,Confessions of an English Opium-Eater,1821,352,
,87,15,,Fernando Noy,Sofoco,2014,80,
,88,16,,Lima Barreto,Diário Íntimo,1953,316,
,89,17,,Kathy Acker,Blood and Guts in High School,1978,165,
,90,18,,Marquês de Sade,Os Infortúnios da Virtude,1787,192,
,91,19,,João Gilberto Noll,Lorde,2004,128,
,92,20,,Tiago Ferro,O Pai da Menina Morta,2018,176,
,93,21,,J.P. Cuenca,Descobri que Estava Morto,2016,240,
,,,,,,,,
,Junho,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,94,01,,J.P. Cuenca,O Dia Mastroianni,2007,216,
,95,02,,César Aira ,Prins,2018,144,
,96,03,,Jacques Fux,Antiterapias,2013,166,
,97,04,,Liev Tolstói,A Sonata a Kreutzer,1891,120,
,98,05,,César Aira ,Fulgentius,2020,168,
,99,06,,César Aira ,"El Jardinero, el Escultor y el Fugitivo",2022,144,
,100,07,,Gert Jonke,The System of Vienna,1999,125,
,101,08,,César Aira ,Entre los Indios,2012,121,
,102,09,,Lars Gustafsson,The Death of a Beekeeper,1978,176,
,103,10,,Rosemary Tonks,The Bloater,1968,135,
,104,11,,Gonçalo M. Tavares,Short Movies,2011,96,
,105,12,,William T. Vollmann,Whores for Gloria,1991,160,
,106,13,,César Aira ,Los Hombrecitos con Sobretodo,2024,96,
,107,14,,Marcelo Mirisola,Espeto Corrido,2024,164,
,108,15,,Ricardo Lísias,Divórcio,2013,240,
,,,,,,,,
,Julho,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,109,01,,Rachid al-Daif,Dear Mr. Kawabata,1995,178,
,110,02,,Camila Sosa Villada,A Namorada de Sandro,2015,96,
,111,03,,Mikhail Bulgakov,Diaboliad,1924,110,
,112,04,,Mariana Eva Perez,"Diario de una Princesa Montonera, 110% Verdad",2012,208,
,113,05,,Sergei Dovlatov,The Zone,1982,198,
,114,06,,Bernardo Kucinski,K - Relato de uma Busca,2014,176,
,115,07,,Ivan Turgenev,Smoke,1867,256,
,116,08,,Naty Menstrual,Chuva Dourada Sobre Mim,2008,148,
,117,09,,Amara Moira,E Se Eu Fosse Puta,2016,148,
,118,10,,Jamil Snege,"O Jardim, a Tempestade",1989,82,
,119,11,,Richard Laymon,"Darkness, Tell Us",1991,404,
,120,12,,César Aira,La Fuente,1995,96,
,121,13,,Mario Bellatin,Damas Chinas,1995,110,
,,,,,,,,
,Agosto,,,,,,,
,#,#,Capa,Autor,Livro,Ano,Pág,Nac.
,122,01,,Mario Bellatin,El Jardín de la Señora Murakami,2000,112,
,123,02,,César Aira,El Pelícano,2020,126,
,124,03,,César Aira,Yo Era Una Mujer Casada,2010,98,
,125,04,,Emmanuel Bove,Meus Amigos,1924,176,
,126,05,,Kobo Abe,The Woman in the Dunes,1962,258,
,127,06,,Sayaka Murata,Querida Konbini,2016,152,
,128,07,,Brigid Brophy,Flesh,1962,155,
,129,08,,Édouard Louis,Lutas e Metamorfoses de uma Mulher,2021,112,
,130,09,,Katie Kitamura,A Separation,2017,255,
,131,10,,Édouard Louis,Quem Matou Meu Pai,2018,72,
,132,11,,Ludmilla Petrushevskaya,The Time: Night,1991,155,
,133,12,,César Aira,Yo Era Una Niña de Siete Años,2005,125,
,134,13,,Marguerite Duras,O Amante,1984,128,
,135,14,,Hiroko Oyamada ,Weasels in the Attic,2022,96,
,136,15,,Lima Barreto,Vida e Morte de M. J. Gonzaga de Sá,1919,201,
,137,16,,Emi Yagi,Diary of a Void,2020,213,
,138,17,,Atiq Rahimi,As Mil Casas do Sonho e do Terror,2002,184,
,139,18,,Pierre Loti,The Marriage of Loti,1880,210,
,140,19,,Mikhail Bulgákov,The Heart of a Dog,1925,128,
,141,20,,Osamu Dazai,The Flowers of Buffoonery,1935,96,
,142,21,,Pierre Loti,Madame Chrysanthemum,1887,354,
